,year,company,eia_id,cec_id,plant,state,capacity_MW,gross_MWhm,net_MWh
275,2015,Westwind Association,Missing,W0300,Westwind Partners LLC (ENXCO) - Decommissioned 7/1/2016,CA,9.1,9784,9784
276,2015,Windpower Partners 1993 LP,50276,W0318,Wintec Energy Ltd.,CA,2.0,3110,3110
277,2015,Windstar Energy LLC,57774,W0419,Windstar Energy LLC,CA,120.0,249713,249713
278,2016,Alta Wind VIII LLC,57835,W0393,Alta Wind VIII LLC,CA,150.0,294817,294817
279,2016,BP Wind Energy North America,50553,W0391,Edom Hills Project 1 LLC,CA,20.0,45393,45393
280,2016,CalWind Resources Inc,10191,W0284,Wind Resource I (Calwind Wind Resource I),CA,8.7,15248,15248
281,2016,CalWind Resources Inc,54909,W0320,Wind Resource II (Calwind),CA,20.0,48993,48993
282,2016,Coram California Development LP,57962,W0408,Coram California Development LP,CA,102.0,286428,286428
283,2016,Difwinds Farm Ltd V,54685,W0386,Difwind Farms LTD V,CA,11.6,13935,13935
284,2016,EUI Management PH Inc,10027,W0268,EUIPH Wind Farm,CA,25.2,39180,39180
285,2016,EverPower Wind Holdings Inc,57833,W0406,Mustang Hills LLC (Alta Wind VI Energy Center),CA,150.0,314587,314587
286,2016,Foundation Windpower,57594,W0395,Teichert Vernalis,CA,1.5,1563,1563
287,2016,Foundation Windpower,57626,W0396,Safeway Tracy,CA,2.0,2720,2720
288,2016,Foundation Windpower,57792,W0397,IEUA,CA,1.0,600,600
289,2016,Foundation Windpower,57791,W0398,Anheuser-Busch,CA,1.5,2348,2348
290,2016,Foundation Windpower,58112,W0399,Cemex Madison,CA,1.0,1572,1572
291,2016,Foundation Windpower,58105,W0400,Wal-Mart Red Bluff,CA,1.0,2036,2036
292,2016,Foundation Windpower,58113,W0401,Robertsons Ready-Mix,CA,2.0,9793,9793
293,2016,Foundation Windpower,58114,W0402,Nestle Waters,CA,3.2,13774,13774
294,2016,Foundation Windpower,58102,W0403,Cemex BMQ,CA,3.0,3368,3368
295,2016,Foundation Windpower,58105,W0404,Cemex River Plant,CA,3.2,2932,2932
296,2016,Foundation Windpower,58104,W0405,Superior Farms,CA,1.0,1425,1425
297,2016,Foundation Windpower,Missing,W0456,Anheuser-Busch #2,CA,1.6,3937,3937
298,2016,FPL Energy Operating Services Inc,54647,W0270,Terra-Gen Mojave Windfarms (TPC Wind Farms - Tehachapi Power Purchase Trust),CA,28.3,59013,59013
299,2016,FPL Energy Operating Services Inc,52143,W0312,Mojave 3 (Mojave 3-4-5 (Desertwind II PPC Trust) - 6113),CA,23.5,64185,64185
300,2016,FPL Energy Operating Services Inc,50536,W0357,Solano Wind 12 (SMUD Solano Phase 2),CA,102.2,212379,212379
301,2016,FPL Energy Operating Services Inc,55152,W0358,Shiloh I Wind (Victory Garden Prtnr PHIV),CA,150.0,386097,386097
302,2016,FPL Energy Operating Services Inc,50823,W0364,Dillon Wind,CA,45.0,141733,141733
303,2016,FPL Energy Operating Services Inc,52143,W0365,Difwind Farms LTD I,CA,7.2,11859,11859
304,2016,FPL Energy Operating Services Inc,52143,W0366,Difwind Farms LTD II,CA,5.4,6475,6475
305,2016,Hatchet Ridge Wind LLC,56654,W0369,Hatchet Ridge Wind LLC,CA,101.2,287408,287408
306,2016,International Turbine Research,10005,W0354,International Turbine Research Inc. (Retired June 14 2018),CA,18.4,22381,22381
307,2016,Los Angeles Department of Water & Power (LADWP),56433,W0368,Pine Tree Wind Power Plant,CA,135.0,178507,178507
308,2016,Mesa Wind Power Corporation,50535,W0260,Mesa Wind Power Corporation,CA,29.9,7307,7307
309,2016,Mojave 16/17/18 LLC,50822,W0313,Mojave 16 17 18 (Mojave 16-17-18  (Desertwind III PPC Trust) - 6063-6114),CA,83.6,119017,119017
310,2016,NextEra Energy Resources LLC,57201,W0371,FPL Energy Montezuma Winds LLC,CA,36.8,90589,90589
311,2016,NextEra Energy Resources LLC,57701,W0392,Montezuma Wind II,CA,78.2,152043,152043
312,2016,NextEra Energy Resources LLC,57700,W0394,Vasco Wind Energy Center,CA,78.2,236403,236403
313,2016,NextEra Energy Resources LLC,50013,W0423,Diablo Wind LLC,CA,18.0,63335,63335
314,2016,North Sky River Energy LLC,58121,W0414,North Sky River LLC,CA,162.0,464374,464374
315,2016,Not Available,50552,W0258,Cabazon Wind Partners LLC,CA,40.9,116857,116857
316,2016,Not Available,50532,W0271,Wind Stream Operations 6039 (Zond Systems  Inc - 6039),CA,6.3,9048,9048
317,2016,Not Available,50532,W0272,Wind Stream Operations 6040 (Zond Systems  Inc - 6040),CA,6.7,10714,10714
318,2016,Not Available,50532,W0273,Wind Stream Operations 6041 (Zond Systems  Inc - 6041),CA,4.5,6153,6153
319,2016,Not Available,56570,W0274,Wind Stream Operations 6042 (Zond Systems  Inc - 6042),CA,6.3,8511,8511
320,2016,Not Available,52161,W0275,85A (Zond Systems  Inc - 6043),CA,14.1,15921,15921
321,2016,Not Available,52163,W0276,85B (Zond Systems  Inc - 6044),CA,21.1,20376,20376
322,2016,Not Available,50536,W0289,Sky River Partnership (ESI Energy  Inc - 6065),CA,70.7,136624,136624
323,2016,Not Available,Missing,W0304,Victory Gardens IV (6103),CA,20.7,34093,34093
324,2016,Not Available,52161,W0306,Terra-Gen 251 Wind (Zond Monolith X),CA,16.9,22830,22830
